#,Name,HP,Attack,Defense
1,Bulbasaur,45,49,49
2,Ivysaur,60,62,63
3,Venusaur,80,82,83
4,Charmander,39,52,43
5,Charmeleon,58,64,58
6,Charizard,78,84,78
7,Squirtle,44,48,65
8,Wartortle,59,63,80
9,Blastoise,79,83,100
10,Caterpie,45,30,35
11,Metapod,50,20,55
12,Butterfree,60,45,50
13,Weedle,40,35,30
14,Kakuna,45,25,50
15,Beedrill,65,90,40
16,Pidgey,40,45,40
17,Pidgeotto,63,60,55
18,Pidgeot,83,80,75
19,Rattata,30,56,35
20,Raticate,55,81,60
21,Spearow,40,60,30
22,Fearow,65,90,65
23,Ekans,35,60,44
24,Arbok,60,85,69
25,Pikachu,35,55,40
26,Raichu,60,90,55
27,Sandshrew,50,75,85
28,Sandslash,75,100,110
29,Nidorana,55,47,52
30,Nidorina,70,62,67
31,Nidoqueen,90,92,87
32,Nidorana,46,57,40
33,Nidorino,61,72,57
34,Nidoking,81,102,77
35,Clefairy,70,45,48
36,Clefable,95,70,73
37,Vulpix,38,41,40
38,Ninetales,73,76,75
39,Jigglypuff,115,45,20
40,Wigglytuff,140,70,45
41,Zubat,40,45,35
42,Golbat,75,80,70
43,Oddish,45,50,55
44,Gloom,60,65,70
45,Vileplume,75,80,85
46,Paras,35,70,55
47,Parasect,60,95,80
48,Venonat,60,55,50
49,Venomoth,70,65,60
50,Diglett,10,55,25
51,Dugtrio,35,80,50
52,Meowth,40,45,35
53,Persian,65,70,60
54,Psyduck,50,52,48
55,Golduck,80,82,78
56,Mankey,40,80,35
57,Primeape,65,105,60
58,Growlithe,55,70,45
59,Arcanine,90,110,80
60,Poliwag,40,50,40
61,Poliwhirl,65,65,65
62,Poliwrath,90,95,95
63,Abra,25,20,15
64,Kadabra,40,35,30
65,Alakazam,55,50,45
66,Machop,70,80,50
67,Machoke,80,100,70
68,Machamp,90,130,80
69,Bellsprout,50,75,35
70,Weepinbell,65,90,50
71,Victreebel,80,105,65
72,Tentacool,40,40,35
73,Tentacruel,80,70,65
74,Geodude,40,80,100
75,Graveler,55,95,115
76,Golem,80,120,130
77,Ponyta,50,85,55
78,Rapidash,65,100,70
79,Slowpoke,90,65,65
80,Slowbro,95,75,110
81,Magnemite,25,35,70
82,Magneton,50,60,95
83,Farfetch'd,52,65,55
84,Doduo,35,85,45
85,Dodrio,60,110,70
86,Seel,65,45,55
87,Dewgong,90,70,80
88,Grimer,80,80,50
89,Muk,105,105,75
90,Shellder,30,65,100
91,Cloyster,50,95,180
92,Gastly,30,35,30
93,Haunter,45,50,45
94,Gengar,60,65,60
95,Onix,35,45,160
96,Drowzee,60,48,45
97,Hypno,85,73,70
98,Krabby,30,105,90
99,Kingler,55,130,115
100,Voltorb,40,30,50
101,Electrode,60,50,70
102,Exeggcute,60,40,80
103,Exeggutor,95,95,85
104,Cubone,50,50,95
105,Marowak,60,80,110
106,Hitmonlee,50,120,53
107,Hitmonchan,50,105,79
108,Lickitung,90,55,75
109,Koffing,40,65,95
110,Weezing,65,90,120
111,Rhyhorn,80,85,95
112,Rhydon,105,130,120
113,Chansey,250,5,5
114,Tangela,65,55,115
115,Kangaskhan,105,95,80
116,Horsea,30,40,70
117,Seadra,55,65,95
118,Goldeen,45,67,60
119,Seaking,80,92,65
120,Staryu,30,45,55
121,Starmie,60,75,85
122,Mr. Mime,40,45,65
123,Scyther,70,110,80
124,Jynx,65,50,35
125,Electabuzz,65,83,57
126,Magmar,65,95,57
127,Pinsir,65,125,100
128,Tauros,75,100,95
129,Magikarp,20,10,55
130,Gyarados,95,125,79
131,Lapras,130,85,80
132,Ditto,48,48,48
133,Eevee,55,55,50
134,Vaporeon,130,65,60
135,Jolteon,65,65,60
136,Flareon,65,130,60
137,Porygon,65,60,70
138,Omanyte,35,40,100
139,Omastar,70,60,125
140,Kabuto,30,80,90
141,Kabutops,60,115,105
142,Aerodactyl,80,105,65
143,Snorlax,160,110,65
144,Articuno,90,85,100
145,Zapdos,90,90,85
146,Moltres,90,100,90
147,Dratini,41,64,45
148,Dragonair,61,84,65
149,Dragonite,91,134,95
150,Mewtwo,106,110,90
151,Mew,100,100,100
